benchmark,thumb_size,method,rows,correct,accuracy,avg_text_tokens,avg_image_tokens,avg_total_tokens,avg_processor_time_sec,avg_generate_time_sec,avg_total_time_sec,avg_peak_allocated_mb,max_peak_allocated_mb,avg_peak_reserved_mb,max_peak_reserved_mb,avg_original_width,avg_original_height,avg_resized_width,avg_resized_height,accuracy_percent,vlm_single_accuracy,vlm_single_accuracy_percent,vlm_single_rows,vlm_single_correct
vstar,1980,THUMB_AREA_VLM_1980,191,154,0.806282722513089,46.92670157068063,15441.361256544502,15488.287958115183,0.11264833981671354,0.5831941102356015,0.842767384816731,9537.3002239447,9551.59912109375,9764.5445026178,9876.0,2246.2722513089006,1582.9790575916231,2377.214659685864,1698.1780104712043,80.6282722513089,0.816753927,81.6753927,191,156
vstar,1800,THUMB_AREA_VLM_1800,191,155,0.8115183246073299,46.92670157068063,12688.460732984293,12735.387434554974,0.0902646237172911,0.4812191671884843,0.6958123106754266,9348.786797488547,9370.18017578125,9566.523560209424,9594.0,2246.2722513089006,1582.9790575916231,2158.4921465968587,1532.2303664921467,81.15183246073299,0.816753927,81.6753927,191,156
vstar,1600,THUMB_AREA_VLM_1600,191,144,0.7539267015706806,46.92670157068063,10009.549738219896,10056.476439790576,0.07294180350261126,0.3842699005759256,0.5700180477329764,9167.43540115756,9181.11962890625,9299.623036649215,9396.0,2246.2722513089006,1582.9790575916231,1916.7539267015707,1374.1989528795812,75.39267015706807,0.816753927,81.6753927,191,156
vstar,1440,THUMB_AREA_VLM_1440,191,149,0.7801047120418848,46.92670157068063,8136.460732984293,8183.387434554974,0.05600072018324338,0.32542412651824604,0.48412592657590775,9040.244020472022,9055.78271484375,9183.759162303664,9244.0,2246.2722513089006,1582.9790575916231,1724.4188481675392,1232.0,78.01047120418848,0.816753927,81.6753927,191,156
vstar,1280,THUMB_AREA_VLM_1280,191,138,0.7225130890052356,46.92670157068063,6312.335078534032,6359.261780104712,0.038272247931973744,0.26255866879054124,0.393640579837719,8917.0686738179,8941.99462890625,9032.261780104713,9074.0,2246.2722513089006,1582.9790575916231,1532.523560209424,1088.9214659685863,72.25130890052355,0.816753927,81.6753927,191,156
vstar,1080,THUMB_AREA_VLM_1080,191,139,0.7277486910994765,46.92670157068063,4566.910994764398,4613.837696335078,0.02734689212042189,0.2261059992513024,0.33699182228274344,8799.720728689463,8810.380859375,8855.59162303665,8926.0,2246.2722513089006,1582.9790575916231,1289.4659685863874,929.8638743455498,72.77486910994764,0.816753927,81.6753927,191,156
vstar,960,THUMB_AREA_VLM_960,191,126,0.6596858638743456,46.92670157068063,3567.3507853403144,3614.277486910995,0.02459853618326952,0.1787502497015377,0.27870036924608393,8749.299352196498,8758.43212890625,8776.010471204188,8824.0,2246.2722513089006,1582.9790575916231,1150.34554973822,821.6753926701571,65.96858638743456,0.816753927,81.6753927,191,156
vstar,840,THUMB_AREA_VLM_840,191,128,0.6701570680628273,46.92670157068063,2716.607329842932,2763.5340314136124,0.018220456607329242,0.15732662296859198,0.2452315801413459,8688.50730376718,8696.4794921875,8726.0,8750.0,2246.2722513089006,1582.9790575916231,1009.6125654450262,710.261780104712,67.01570680628272,0.816753927,81.6753927,191,156
vstar,720,THUMB_AREA_VLM_720,191,125,0.6544502617801047,46.92670157068063,2007.0366492146597,2053.9633507853405,0.015073004659645723,0.14850600412042045,0.22861291861255165,8636.32984037549,8644.91357421875,8667.267015706806,8682.0,2246.2722513089006,1582.9790575916231,868.4397905759163,615.5602094240837,65.44502617801047,0.816753927,81.6753927,191,156
vstar,600,THUMB_AREA_VLM_600,191,116,0.6073298429319371,46.92670157068063,1453.6753926701572,1500.6020942408377,0.01326333191623968,0.14972695841357483,0.22323925283248555,8584.89721040576,8589.8798828125,8666.230366492147,8682.0,2246.2722513089006,1582.9790575916231,715.5392670157069,520.2722513089005,60.73298429319372,0.816753927,81.6753927,191,156
vstar,480,THUMB_AREA_VLM_480,191,105,0.5497382198952879,46.92670157068063,873.8219895287958,920.7486910994764,0.010703391366491078,0.16093772354451247,0.22637484357068247,8547.47317265216,8553.46875,8578.19895287958,8594.0,2246.2722513089006,1582.9790575916231,575.2460732984293,410.9109947643979,54.973821989528794,0.816753927,81.6753927,191,156
vstar,420,THUMB_AREA_VLM_420,191,94,0.49214659685863876,46.92670157068063,651.6649214659686,698.5916230366493,0.009698465931964145,0.16062810973815436,0.22289025365965512,8529.458738956151,8535.4814453125,8566.439790575916,8574.0,2246.2722513089006,1582.9790575916231,495.05759162303667,353.4450261780105,49.21465968586388,0.816753927,81.6753927,191,156
vstar,360,THUMB_AREA_VLM_360,191,91,0.47643979057591623,46.92670157068063,509.78010471204186,556.7068062827225,0.008812170298434127,0.14515568556545472,0.20443372461784706,8519.523910442573,8523.783203125,8542.041884816754,8548.0,2246.2722513089006,1582.9790575916231,434.65968586387436,300.2303664921466,47.64397905759162,0.816753927,81.6753927,191,156
